Date,Time,Open ,High,Low,Close,Volume,Open Interest
20251205,11:44,1533.3,1533.5,1532.7,1533,7565,0
20251205,11:45,1533.3,1533.4,1532.6,1532.6,6523,0
20251205,11:46,1533.2,1533.2,1532.5,1533,15227,0
20251205,11:47,1533.1,1533.1,1531.9,1532.3,22188,0
20251205,11:48,1532.9,1532.9,1530.9,1531,44926,0
20251205,11:49,1531,1531.8,1530.8,1530.8,17367,0
20251205,11:50,1530.8,1532.5,1530.5,1532.3,26805,0
20251205,11:51,1531.7,1532.5,1531.6,1532.1,13080,0
20251205,11:52,1532,1532.8,1531.9,1532.6,7777,0
20251205,11:53,1532.2,1533,1532,1532,6936,0
20251205,11:54,1532.1,1533,1532,1532.7,11106,0
20251205,11:55,1532.3,1533,1532.2,1532.3,7425,0
20251205,11:56,1532.3,1533.5,1532,1533.4,13293,0
20251205,11:57,1533.3,1534.3,1533.2,1533.5,17548,0
20251205,11:58,1534,1534.3,1533.3,1533.7,10187,0
20251205,11:59,1533.7,1533.7,1532.5,1533,12985,0
20251205,12:00,1533,1533.4,1532.5,1532.7,6981,0
20251205,12:01,1533.2,1533.4,1532.6,1533.1,8337,0
20251205,12:02,1533.1,1533.1,1532,1532.4,9877,0
20251205,12:03,1532.4,1532.4,1531.6,1532.2,6835,0
20251205,12:04,1531.7,1532.7,1531.6,1532.3,7125,0
20251205,12:05,1532.3,1533,1531.8,1532.5,7505,0
20251205,12:06,1532.5,1532.8,1532.1,1532.2,5602,0
20251205,12:07,1532.5,1532.7,1531.6,1531.7,7230,0
20251205,12:08,1532.1,1532.6,1531.5,1532,7783,0
20251205,12:09,1532,1532.7,1531.5,1532.2,6093,0
20251205,12:10,1532.5,1533.3,1531.9,1533,15417,0
20251205,12:11,1532.5,1533.2,1531.6,1532.3,19840,0
20251205,12:12,1532.3,1532.3,1531.5,1532.3,7095,0
20251205,12:13,1531.9,1532.7,1531.7,1531.8,6016,0
20251205,12:14,1532,1532.5,1531.7,1532.4,5153,0
20251205,12:15,1531.8,1532.4,1531.6,1532,9862,0
20251205,12:16,1532,1533,1531.8,1532.8,7591,0
20251205,12:17,1532.8,1533.3,1532.2,1533.3,6582,0
20251205,12:18,1533.3,1533.9,1532.9,1533.6,10494,0
20251205,12:19,1533.2,1534,1533,1533,8279,0
20251205,12:20,1533.6,1533.7,1533,1533.6,10340,0
20251205,12:21,1533.5,1534.6,1533.2,1534.3,14029,0
20251205,12:22,1534.1,1535.4,1534,1535.4,52241,0
20251205,12:23,1535,1535.6,1534.6,1535.3,11555,0
20251205,12:24,1535.3,1535.5,1534.8,1535.5,8943,0
20251205,12:25,1535.5,1535.5,1534.7,1534.8,10776,0
20251205,12:26,1534.7,1535.5,1534.7,1535.4,7393,0
20251205,12:27,1535.4,1535.4,1534.6,1535.3,9028,0
20251205,12:28,1534.8,1535.3,1534.5,1534.5,6463,0
20251205,12:29,1534.8,1535,1534.3,1535,7465,0
20251205,12:30,1535,1535.6,1534.5,1534.7,24786,0
20251205,12:31,1534.6,1535.3,1534.3,1535.3,11352,0
20251205,12:32,1535.3,1535.5,1534.6,1535.4,8181,0
20251205,12:33,1535.4,1536.4,1535,1536.3,23381,0
20251205,12:34,1535.8,1536.8,1535.5,1536.5,10638,0
20251205,12:35,1536.5,1537.5,1535.9,1537.5,10965,0
20251205,12:36,1537.5,1537.6,1536,1537,70574,0
20251205,12:37,1536.9,1538.5,1536.3,1538.5,130489,0
20251205,12:38,1538,1539.4,1537.4,1538.2,34218,0
20251205,12:39,1538,1538.8,1538,1538.3,8860,0
20251205,12:40,1538.6,1539.2,1538,1538.8,14074,0
20251205,12:41,1538.8,1538.8,1537,1537.6,26334,0
20251205,12:42,1537.6,1538.4,1537.4,1537.9,6608,0
20251205,12:43,1537.9,1538.4,1537.4,1537.5,9242,0
20251205,12:44,1537.9,1538.3,1537.4,1537.6,6987,0
20251205,12:45,1537.6,1537.8,1537,1537.7,18940,0
20251205,12:46,1537.1,1537.6,1536,1536.9,17928,0
20251205,12:47,1537,1537.6,1536.8,1537,11020,0
20251205,12:48,1537.2,1537.3,1536.8,1537,8769,0
20251205,12:49,1536.9,1537.5,1536.8,1537.1,11051,0
20251205,12:50,1537.1,1537.5,1536.8,1536.9,10341,0
20251205,12:51,1537,1537.4,1536.8,1536.8,12410,0
20251205,12:52,1536.8,1538.2,1536.8,1537.5,16654,0
20251205,12:53,1538,1538.5,1537.5,1538.3,14941,0
20251205,12:54,1538.3,1538.5,1538,1538.5,12366,0
20251205,12:55,1538.4,1538.5,1537.9,1538.1,15343,0
20251205,12:56,1538,1538.7,1538,1538,9132,0
20251205,12:57,1538.4,1538.4,1537.7,1537.7,8892,0
20251205,12:58,1538,1538,1537.5,1537.9,10316,0
20251205,12:59,1537.9,1537.9,1537.1,1537.5,15112,0
20251205,13:00,1537.5,1537.9,1537.4,1537.9,10267,0
20251205,13:01,1537.7,1538.4,1537.5,1537.9,14188,0
20251205,13:02,1537.7,1538.4,1537.5,1538.3,12221,0
20251205,13:03,1538,1538.3,1537.3,1537.8,12167,0
20251205,13:04,1537.4,1537.8,1537.1,1537.3,10385,0
20251205,13:05,1537.3,1537.5,1537.1,1537.3,10233,0
20251205,13:06,1537.2,1537.4,1537.1,1537.2,11330,0
20251205,13:07,1537.2,1537.4,1537,1537.1,9917,0
20251205,13:08,1537.3,1537.3,1537.1,1537.2,9279,0
20251205,13:09,1537.1,1537.4,1537,1537.4,10142,0
20251205,13:10,1537.2,1537.4,1537,1537.2,11467,0
20251205,13:11,1537.2,1537.4,1537,1537.2,18524,0
20251205,13:12,1537.1,1537.2,1536.9,1537.1,15815,0
20251205,13:13,1537.2,1537.4,1536.9,1537.4,17355,0
20251205,13:14,1537.1,1537.8,1537.1,1537.3,8565,0
20251205,13:15,1537.2,1537.6,1537,1537.3,11279,0
20251205,13:16,1537.6,1538,1537,1537.8,12095,0
20251205,13:17,1537.8,1538.4,1537.4,1538.4,12899,0
20251205,13:18,1538.1,1538.5,1537.7,1537.7,12791,0
20251205,13:19,1538,1538.5,1537.5,1538,7676,0
20251205,13:20,1537.6,1538.4,1537.3,1538.1,15935,0
20251205,13:21,1538,1538.6,1537.7,1538.5,9292,0
20251205,13:22,1538.5,1538.5,1537.6,1538.4,13702,0
20251205,13:23,1538.4,1538.7,1537.7,1538.4,29945,0
20251205,13:24,1538.3,1539.4,1538,1538.4,43589,0
20251205,13:25,1538.4,1539.9,1538.3,1539.8,20917,0
20251205,13:26,1539.9,1540.4,1538.8,1539.5,42320,0
20251205,13:27,1539.3,1539.9,1538.6,1539.9,11302,0
20251205,13:28,1539.6,1540,1539,1539.3,11726,0
20251205,13:29,1539.3,1539.7,1539.1,1539.2,10269,0
20251205,13:30,1539.2,1540,1539.1,1539.6,18192,0
20251205,13:31,1539.7,1539.7,1539.1,1539.1,10690,0
20251205,13:32,1539.2,1539.5,1538.7,1539.4,11057,0
20251205,13:33,1539.5,1539.6,1538.8,1539.1,9130,0
20251205,13:34,1538.9,1539.5,1538.7,1539,13565,0
20251205,13:35,1539.2,1540,1538.6,1540,18716,0
20251205,13:36,1539.6,1539.9,1539.2,1539.3,10666,0
20251205,13:37,1539.4,1540.9,1539.3,1540.3,25988,0
20251205,13:38,1540.6,1540.9,1540.1,1540.7,16434,0
20251205,13:39,1540.7,1540.8,1540,1540.2,8771,0
20251205,13:40,1540,1540.4,1538.5,1538.9,15991,0
20251205,13:41,1538.6,1539.4,1537,1538.8,22527,0
20251205,13:42,1538.6,1539.3,1538,1539,13772,0
20251205,13:43,1539,1539,1537.8,1538.5,12392,0
20251205,13:44,1538.5,1538.5,1538,1538.1,9191,0
20251205,13:45,1538.5,1539.4,1538.1,1539.2,19989,0
20251205,13:46,1539.2,1539.2,1538,1538,10166,0
20251205,13:47,1538.4,1538.6,1538,1538.1,11344,0
20251205,13:48,1538.1,1538.4,1537.4,1537.4,13592,0
20251205,13:49,1537.5,1538,1537.4,1537.5,9477,0
20251205,13:50,1537.5,1538.1,1537.3,1537.3,10683,0
20251205,13:51,1537.7,1538.5,1537.4,1538.5,10914,0
20251205,13:52,1538.5,1538.8,1538,1538.1,10776,0
20251205,13:53,1538.5,1538.5,1537.7,1537.7,11636,0
20251205,13:54,1537.7,1538.3,1537.5,1537.5,10795,0
20251205,13:55,1537.9,1537.9,1537.1,1537.6,10314,0
20251205,13:56,1537.2,1539.2,1537.1,1538.8,53377,0
20251205,13:57,1538.5,1538.9,1537.4,1537.5,12293,0
20251205,13:58,1537.5,1537.5,1536.5,1537,53416,0
20251205,13:59,1536.9,1537.4,1536.7,1537,11755,0
20251205,14:00,1537.1,1537.2,1536.7,1537,9318,0
20251205,14:01,1537.1,1537.7,1537,1537,14370,0
20251205,14:02,1537.6,1538.2,1537,1538.1,19765,0
20251205,14:03,1538.1,1538.4,1537.6,1537.6,16570,0
20251205,14:04,1538,1538.2,1536.7,1537.3,30455,0
20251205,14:05,1536.7,1537.5,1536.5,1537,22417,0
20251205,14:06,1537.1,1538,1536.7,1537.4,30980,0
20251205,14:07,1537.4,1537.8,1535.9,1536.1,74363,0
20251205,14:08,1536.5,1536.7,1536.1,1536.3,18724,0
20251205,14:09,1536.3,1536.9,1536.2,1536.4,11904,0
20251205,14:10,1536.4,1537.7,1536.1,1537.7,32146,0
20251205,14:11,1537.8,1538.5,1537.4,1537.9,54763,0
20251205,14:12,1538.4,1538.4,1536.7,1537.7,10529,0
20251205,14:13,1537.4,1538,1536.6,1536.9,13198,0
20251205,14:14,1537.4,1537.6,1536.4,1537.3,10751,0
20251205,14:15,1537.3,1537.3,1536.6,1536.6,8813,0
20251205,14:16,1536.6,1537.5,1536.5,1537,16643,0
20251205,14:17,1537,1537.2,1536.6,1537.2,7806,0
20251205,14:18,1536.6,1537.4,1536.4,1536.8,15932,0
20251205,14:19,1537,1537.9,1536.5,1537.7,10146,0
20251205,14:20,1537.7,1537.8,1536.2,1537.1,24723,0
20251205,14:21,1537.4,1537.7,1536.6,1536.8,21944,0
20251205,14:22,1536.8,1537.7,1536.5,1536.6,13207,0
20251205,14:23,1536.9,1537.3,1536.5,1536.9,7566,0
20251205,14:24,1536.9,1537.3,1536.2,1536.7,11278,0
20251205,14:25,1536.9,1537.1,1536.3,1536.5,9448,0
20251205,14:26,1536.8,1537.5,1536.4,1537.3,11674,0
20251205,14:27,1537.3,1537.3,1536.6,1536.7,8178,0
20251205,14:28,1537.1,1537.3,1536.5,1536.7,15639,0
20251205,14:29,1536.5,1537,1536.2,1537,13153,0
20251205,14:30,1537,1537.2,1536.4,1536.8,8143,0
20251205,14:31,1536.8,1537,1535.2,1536.3,18851,0
20251205,14:32,1536.6,1536.9,1535.5,1536.9,14533,0
20251205,14:33,1536.8,1537,1535.6,1535.6,13519,0
20251205,14:34,1535.3,1536.9,1535.3,1536.4,16695,0
20251205,14:35,1536.5,1537.1,1536.1,1536.5,11898,0
20251205,14:36,1536.7,1537.6,1536.7,1537,12447,0
20251205,14:37,1537,1537.6,1536.5,1536.6,12452,0
20251205,14:38,1536.6,1537.4,1536.5,1537,10778,0
20251205,14:39,1537.4,1537.5,1536.4,1536.7,16795,0
20251205,14:40,1537.2,1537.7,1536.6,1537,13867,0
20251205,14:41,1536.7,1537.4,1536.3,1536.6,28158,0
20251205,14:42,1536.3,1537.2,1536.1,1536.5,17007,0
20251205,14:43,1536.7,1536.9,1536,1536.8,16765,0
20251205,14:44,1536.7,1537,1535.7,1535.7,20094,0
20251205,14:45,1536,1536.1,1535.3,1535.8,33698,0
20251205,14:46,1535.8,1536.2,1535.3,1535.6,18922,0
20251205,14:47,1535.6,1536.6,1535.6,1536,29423,0
20251205,14:48,1536.1,1536.8,1534.4,1536.3,29481,0
20251205,14:49,1536,1537.3,1536,1536.9,17699,0
20251205,14:50,1537,1537.5,1536.5,1536.8,21299,0
20251205,14:51,1536.8,1537.6,1536.3,1537.2,22146,0
20251205,14:52,1537.1,1538.4,1537,1537.6,24941,0
20251205,14:53,1537.8,1537.8,1536.5,1536.7,17093,0
20251205,14:54,1536.7,1537.2,1536.4,1536.8,18961,0
20251205,14:55,1536.8,1536.8,1536,1536.5,16339,0
20251205,14:56,1536.4,1536.5,1536.2,1536.3,40087,0
20251205,14:57,1536.4,1536.5,1535.7,1536.4,22384,0
20251205,14:58,1536.4,1536.5,1536.1,1536.3,16061,0
20251205,14:59,1536.4,1536.5,1535.8,1536.3,19355,0
20251205,15:00,1536,1537,1535.8,1535.8,102707,0
20251205,15:01,1536.1,1536.2,1535.8,1535.9,57096,0
20251205,15:02,1535.9,1536.3,1535.8,1536,47345,0
20251205,15:03,1536.2,1539.3,1536.2,1539.1,65558,0
20251205,15:04,1539.1,1539.2,1539,1539,30066,0
20251205,15:05,1539.1,1539.5,1539,1539.5,39588,0
20251205,15:06,1539.5,1539.5,1539.3,1539.5,32550,0
20251205,15:07,1539.5,1541.3,1539.3,1539.3,2815592,0
20251205,15:08,1539.5,1540.2,1539.2,1539.5,43864,0
20251205,15:09,1539.5,1540.6,1539.5,1540.4,31815,0
20251205,15:10,1540.2,1541,1540.1,1540.3,44393,0
20251205,15:11,1540.5,1541.8,1540.3,1541.5,43522,0
20251205,15:12,1541.5,1541.6,1541.2,1541.4,32511,0
20251205,15:13,1541.4,1541.4,1539.6,1539.8,65621,0
20251205,15:14,1539.8,1540.7,1539.3,1540.7,44751,0
20251205,15:15,1540.7,1541.7,1540.4,1541.7,41410,0
20251205,15:16,1541.5,1542,1541.3,1541.8,55543,0
20251205,15:17,1541.9,1544,1541.3,1541.6,96450,0
20251205,15:18,1541.6,1542.3,1541.2,1542.1,38965,0
20251205,15:19,1542.2,1543,1541.5,1542.3,67351,0
20251205,15:20,1542.3,1543.6,1542.3,1543.3,62419,0
20251205,15:21,1543.5,1544.5,1542.3,1544.5,93643,0
20251205,15:22,1544,1544.9,1544,1544.1,62536,0
20251205,15:23,1544.2,1544.9,1544.1,1544.2,55430,0
20251205,15:24,1544.3,1545,1544.1,1544.5,51034,0
20251205,15:25,1544.6,1545.3,1544.1,1544.6,67422,0
20251205,15:26,1544.6,1545.6,1544.3,1544.3,32785,0
20251205,15:27,1544.3,1545.5,1544.3,1544.9,42478,0
20251205,15:28,1545,1545.8,1544,1545,60464,0
20251205,15:29,1545,1545.1,1542.7,1544.6,18983,0
20251205,15:30,1544.6,1544.6,1544.6,1544.6,10,0
20251205,15:40,1540.6,1540.6,1540.6,1540.6,144,0
